index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53750de9e49f/link,,brand-and-geography-cohort-breakout_0_0_0.csv.gz,.csv.gz,52438488,2025-05-06T19:06:10.497000+00:00,dwll_0197d266-5b2a-7cb3-a382-53750de9e49f,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53750de9e49f/link
1,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5385b48bc08f/link,,brand-and-geography-cohort-breakout_0_0_1.csv.gz,.csv.gz,52444831,2025-05-06T19:07:04.122000+00:00,dwll_0197d266-5b2a-7cb3-a382-5385b48bc08f,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5385b48bc08f/link
2,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5395a7b43d04/link,,brand-and-geography-cohort-breakout_0_0_2.csv.gz,.csv.gz,19040007,2025-05-06T19:07:21.124000+00:00,dwll_0197d266-5b2a-7cb3-a382-5395a7b43d04,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5395a7b43d04/link
3,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53ad075d123d/link,,brand-and-geography-cohort-breakout_0_1_0.csv.gz,.csv.gz,52458099,2025-05-06T19:06:07.470000+00:00,dwll_0197d266-5b2a-7cb3-a382-53ad075d123d,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53ad075d123d/link
4,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53b3468f46c4/link,,brand-and-geography-cohort-breakout_0_1_1.csv.gz,.csv.gz,52454606,2025-05-06T19:07:00.049000+00:00,dwll_0197d266-5b2a-7cb3-a382-53b3468f46c4,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53b3468f46c4/link
5,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53c138a9cba7/link,,brand-and-geography-cohort-breakout_0_1_2.csv.gz,.csv.gz,25033175,2025-05-06T19:07:21.038000+00:00,dwll_0197d266-5b2a-7cb3-a382-53c138a9cba7,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53c138a9cba7/link
6,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53dc9a1ad021/link,,brand-and-geography-cohort-breakout_0_2_0.csv.gz,.csv.gz,52452253,2025-05-06T19:06:14.811000+00:00,dwll_0197d266-5b2a-7cb3-a382-53dc9a1ad021,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53dc9a1ad021/link
7,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53e38a44c125/link,,brand-and-geography-cohort-breakout_0_2_1.csv.gz,.csv.gz,52450129,2025-05-06T19:07:02.969000+00:00,dwll_0197d266-5b2a-7cb3-a382-53e38a44c125,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53e38a44c125/link
8,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53f93a2b17a1/link,,brand-and-geography-cohort-breakout_0_2_2.csv.gz,.csv.gz,10176567,2025-05-06T19:07:12.681000+00:00,dwll_0197d266-5b2a-7cb3-a382-53f93a2b17a1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-53f93a2b17a1/link
9,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-540c7b505270/link,,brand-and-geography-cohort-breakout_0_3_0.csv.gz,.csv.gz,52442270,2025-05-06T19:06:03.033000+00:00,dwll_0197d266-5b2a-7cb3-a382-540c7b505270,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-540c7b505270/link
10,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-541a6d69efed/link,,brand-and-geography-cohort-breakout_0_3_1.csv.gz,.csv.gz,52452141,2025-05-06T19:06:59.207000+00:00,dwll_0197d266-5b2a-7cb3-a382-541a6d69efed,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-541a6d69efed/link
11,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-542b6eb08069/link,,brand-and-geography-cohort-breakout_0_3_2.csv.gz,.csv.gz,13640061,2025-05-06T19:07:10.716000+00:00,dwll_0197d266-5b2a-7cb3-a382-542b6eb08069,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-542b6eb08069/link
12,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5432f38c1ac8/link,,brand-and-geography-cohort-breakout_0_4_0.csv.gz,.csv.gz,52438394,2025-05-06T19:06:08.352000+00:00,dwll_0197d266-5b2a-7cb3-a382-5432f38c1ac8,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5432f38c1ac8/link
13,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-544fd86efeb8/link,,brand-and-geography-cohort-breakout_0_4_1.csv.gz,.csv.gz,52434011,2025-05-06T19:07:02.825000+00:00,dwll_0197d266-5b2a-7cb3-a382-544fd86efeb8,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-544fd86efeb8/link
14,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-545b1b1e4c4e/link,,brand-and-geography-cohort-breakout_0_4_2.csv.gz,.csv.gz,24951036,2025-05-06T19:07:23.185000+00:00,dwll_0197d266-5b2a-7cb3-a382-545b1b1e4c4e,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-545b1b1e4c4e/link
15,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-546753217b0c/link,,brand-and-geography-cohort-breakout_0_5_0.csv.gz,.csv.gz,52435365,2025-05-06T19:06:04.391000+00:00,dwll_0197d266-5b2a-7cb3-a382-546753217b0c,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-546753217b0c/link
16,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5471d45312c9/link,,brand-and-geography-cohort-breakout_0_5_1.csv.gz,.csv.gz,52433077,2025-05-06T19:06:59.621000+00:00,dwll_0197d266-5b2a-7cb3-a382-5471d45312c9,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5471d45312c9/link
17,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-548d7fda9eee/link,,brand-and-geography-cohort-breakout_0_5_2.csv.gz,.csv.gz,5511003,2025-05-06T19:07:03.191000+00:00,dwll_0197d266-5b2a-7cb3-a382-548d7fda9eee,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-548d7fda9eee/link
18,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-549c83a06702/link,,brand-and-geography-cohort-breakout_0_6_0.csv.gz,.csv.gz,52433619,2025-05-06T19:06:19.211000+00:00,dwll_0197d266-5b2a-7cb3-a382-549c83a06702,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-549c83a06702/link
19,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54a504c4185e/link,,brand-and-geography-cohort-breakout_0_6_1.csv.gz,.csv.gz,52432618,2025-05-06T19:07:05.348000+00:00,dwll_0197d266-5b2a-7cb3-a382-54a504c4185e,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54a504c4185e/link
20,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54bddda1a05c/link,,brand-and-geography-cohort-breakout_0_6_2.csv.gz,.csv.gz,10084954,2025-05-06T19:07:16.309000+00:00,dwll_0197d266-5b2a-7cb3-a382-54bddda1a05c,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54bddda1a05c/link
21,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54cf48506aa9/link,,brand-and-geography-cohort-breakout_0_7_0.csv.gz,.csv.gz,52437820,2025-05-06T19:06:19.881000+00:00,dwll_0197d266-5b2a-7cb3-a382-54cf48506aa9,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54cf48506aa9/link
22,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54d416815ce4/link,,brand-and-geography-cohort-breakout_0_7_1.csv.gz,.csv.gz,52438923,2025-05-06T19:07:10.812000+00:00,dwll_0197d266-5b2a-7cb3-a382-54d416815ce4,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54d416815ce4/link
23,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54ec3eb4d03c/link,,brand-and-geography-cohort-breakout_0_7_2.csv.gz,.csv.gz,20023086,2025-05-06T19:07:25.316000+00:00,dwll_0197d266-5b2a-7cb3-a382-54ec3eb4d03c,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54ec3eb4d03c/link
24,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54fd2e2fc833/link,,brand-and-geography-cohort-breakout_1_0_0.csv.gz,.csv.gz,52441617,2025-05-06T19:06:11.903000+00:00,dwll_0197d266-5b2a-7cb3-a382-54fd2e2fc833,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-54fd2e2fc833/link
25,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5501a69c6011/link,,brand-and-geography-cohort-breakout_1_0_1.csv.gz,.csv.gz,52457114,2025-05-06T19:07:00.753000+00:00,dwll_0197d266-5b2a-7cb3-a382-5501a69c6011,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5501a69c6011/link
26,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5510c97b585a/link,,brand-and-geography-cohort-breakout_1_0_2.csv.gz,.csv.gz,43969019,2025-05-06T19:07:36.859000+00:00,dwll_0197d266-5b2a-7cb3-a382-5510c97b585a,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5510c97b585a/link
27,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5523dcf6fbb6/link,,brand-and-geography-cohort-breakout_1_1_0.csv.gz,.csv.gz,52472432,2025-05-06T19:06:15.798000+00:00,dwll_0197d266-5b2a-7cb3-a382-5523dcf6fbb6,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5523dcf6fbb6/link
28,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55380b2b89c4/link,,brand-and-geography-cohort-breakout_1_1_1.csv.gz,.csv.gz,44594673,2025-05-06T19:06:55.087000+00:00,dwll_0197d266-5b2a-7cb3-a382-55380b2b89c4,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55380b2b89c4/link
29,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-554b6f6eed86/link,,brand-and-geography-cohort-breakout_1_2_0.csv.gz,.csv.gz,52474798,2025-05-06T19:06:08.129000+00:00,dwll_0197d266-5b2a-7cb3-a382-554b6f6eed86,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-554b6f6eed86/link
30,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-555e301f3716/link,,brand-and-geography-cohort-breakout_1_2_1.csv.gz,.csv.gz,52461339,2025-05-06T19:07:00.915000+00:00,dwll_0197d266-5b2a-7cb3-a382-555e301f3716,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-555e301f3716/link
31,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55690a53c07a/link,,brand-and-geography-cohort-breakout_1_2_2.csv.gz,.csv.gz,11840929,2025-05-06T19:07:10.560000+00:00,dwll_0197d266-5b2a-7cb3-a382-55690a53c07a,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55690a53c07a/link
32,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55712dfe2a5d/link,,brand-and-geography-cohort-breakout_1_3_0.csv.gz,.csv.gz,52471743,2025-05-06T19:06:13.003000+00:00,dwll_0197d266-5b2a-7cb3-a382-55712dfe2a5d,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55712dfe2a5d/link
33,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55880a8f90e9/link,,brand-and-geography-cohort-breakout_1_3_1.csv.gz,.csv.gz,52441938,2025-05-06T19:06:57.451000+00:00,dwll_0197d266-5b2a-7cb3-a382-55880a8f90e9,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55880a8f90e9/link
34,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-559683ffe75a/link,,brand-and-geography-cohort-breakout_1_3_2.csv.gz,.csv.gz,4503069,2025-05-06T19:07:00.332000+00:00,dwll_0197d266-5b2a-7cb3-a382-559683ffe75a,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-559683ffe75a/link
35,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55aa48b5f079/link,,brand-and-geography-cohort-breakout_1_4_0.csv.gz,.csv.gz,52462990,2025-05-06T19:06:09.406000+00:00,dwll_0197d266-5b2a-7cb3-a382-55aa48b5f079,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55aa48b5f079/link
36,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55b044c67aaa/link,,brand-and-geography-cohort-breakout_1_4_1.csv.gz,.csv.gz,52451605,2025-05-06T19:07:01.044000+00:00,dwll_0197d266-5b2a-7cb3-a382-55b044c67aaa,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55b044c67aaa/link
37,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55c5353ab2d1/link,,brand-and-geography-cohort-breakout_1_4_2.csv.gz,.csv.gz,4009308,2025-05-06T19:07:03.669000+00:00,dwll_0197d266-5b2a-7cb3-a382-55c5353ab2d1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55c5353ab2d1/link
38,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55d916a77beb/link,,brand-and-geography-cohort-breakout_1_5_0.csv.gz,.csv.gz,52471922,2025-05-06T19:06:12.195000+00:00,dwll_0197d266-5b2a-7cb3-a382-55d916a77beb,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55d916a77beb/link
39,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55e1fc5baebb/link,,brand-and-geography-cohort-breakout_1_5_1.csv.gz,.csv.gz,52467941,2025-05-06T19:07:05.566000+00:00,dwll_0197d266-5b2a-7cb3-a382-55e1fc5baebb,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55e1fc5baebb/link
40,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55fe878a35ea/link,,brand-and-geography-cohort-breakout_1_5_2.csv.gz,.csv.gz,10307972,2025-05-06T19:07:14.719000+00:00,dwll_0197d266-5b2a-7cb3-a382-55fe878a35ea,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-55fe878a35ea/link
41,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-560e3e9a0466/link,,brand-and-geography-cohort-breakout_1_6_0.csv.gz,.csv.gz,52469962,2025-05-06T19:06:05.489000+00:00,dwll_0197d266-5b2a-7cb3-a382-560e3e9a0466,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-560e3e9a0466/link
42,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5616ee8b295d/link,,brand-and-geography-cohort-breakout_1_6_1.csv.gz,.csv.gz,52475802,2025-05-06T19:06:58.533000+00:00,dwll_0197d266-5b2a-7cb3-a382-5616ee8b295d,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5616ee8b295d/link
43,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-562115bfcaab/link,,brand-and-geography-cohort-breakout_1_6_2.csv.gz,.csv.gz,16369515,2025-05-06T19:07:10.675000+00:00,dwll_0197d266-5b2a-7cb3-a382-562115bfcaab,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-562115bfcaab/link
44,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5639131a4a54/link,,brand-and-geography-cohort-breakout_1_7_0.csv.gz,.csv.gz,52451111,2025-05-06T19:06:04.548000+00:00,dwll_0197d266-5b2a-7cb3-a382-5639131a4a54,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5639131a4a54/link
45,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-564eafd8471e/link,,brand-and-geography-cohort-breakout_1_7_1.csv.gz,.csv.gz,52466083,2025-05-06T19:06:57.329000+00:00,dwll_0197d266-5b2a-7cb3-a382-564eafd8471e,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-564eafd8471e/link
46,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-565cd76a8683/link,,brand-and-geography-cohort-breakout_1_7_2.csv.gz,.csv.gz,5031579,2025-05-06T19:07:00.743000+00:00,dwll_0197d266-5b2a-7cb3-a382-565cd76a8683,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-565cd76a8683/link
47,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5663c00a3b39/link,,brand-and-geography-cohort-breakout_2_0_0.csv.gz,.csv.gz,52460207,2025-05-06T19:06:08.446000+00:00,dwll_0197d266-5b2a-7cb3-a382-5663c00a3b39,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5663c00a3b39/link
48,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5670637fce5d/link,,brand-and-geography-cohort-breakout_2_0_1.csv.gz,.csv.gz,52431558,2025-05-06T19:06:59.823000+00:00,dwll_0197d266-5b2a-7cb3-a382-5670637fce5d,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-5670637fce5d/link
49,1,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-56816fbffaa8/link,,brand-and-geography-cohort-breakout_2_0_2.csv.gz,.csv.gz,10515117,2025-05-06T19:07:06.915000+00:00,dwll_0197d266-5b2a-7cb3-a382-56816fbffaa8,https://app.deweydata.io/api/v1/downloads/0197d266-5b2a-7cb3-a382-56816fbffaa8/link
50,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7526c201142f/link,,brand-and-geography-cohort-breakout_2_1_0.csv.gz,.csv.gz,52449287,2025-05-06T19:06:10.928000+00:00,dwll_0197d266-5c4f-7d13-b0f2-7526c201142f,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7526c201142f/link
51,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-753c9ad6b085/link,,brand-and-geography-cohort-breakout_2_1_1.csv.gz,.csv.gz,52451784,2025-05-06T19:06:58.177000+00:00,dwll_0197d266-5c4f-7d13-b0f2-753c9ad6b085,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-753c9ad6b085/link
52,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-754c324bf686/link,,brand-and-geography-cohort-breakout_2_1_2.csv.gz,.csv.gz,41152698,2025-05-06T19:07:26.287000+00:00,dwll_0197d266-5c4f-7d13-b0f2-754c324bf686,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-754c324bf686/link
53,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7550efbc93ef/link,,brand-and-geography-cohort-breakout_2_2_0.csv.gz,.csv.gz,52466592,2025-05-06T19:06:15.826000+00:00,dwll_0197d266-5c4f-7d13-b0f2-7550efbc93ef,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7550efbc93ef/link
54,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7568feb91d59/link,,brand-and-geography-cohort-breakout_2_2_1.csv.gz,.csv.gz,52459998,2025-05-06T19:07:03.732000+00:00,dwll_0197d266-5c4f-7d13-b0f2-7568feb91d59,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7568feb91d59/link
55,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7572d9f72d4a/link,,brand-and-geography-cohort-breakout_2_2_2.csv.gz,.csv.gz,12935766,2025-05-06T19:07:13.130000+00:00,dwll_0197d266-5c4f-7d13-b0f2-7572d9f72d4a,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7572d9f72d4a/link
56,2,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7587cea06ec5/link,,brand-and-geography-cohort-breakout_2_3_0.csv.gz,.csv.gz,52458473,2025-05-06T19:06:16.953000+00:00,dwll_0197d266-5c4f-7d13-b0f2-7587cea06ec5,https://app.deweydata.io/api/v1/downloads/0197d266-5c4f-7d13-b0f2-7587cea06ec5/link
